cluster_id	sim_ave	sim_min	sim_max	size	composed_go
cluster_0085	0.96529	0.27718	1.00000	1315	GO:0004867
cluster_0086	1.00000	1.00000	1.00000	22	GO:0019825;GO:0005344;GO:0020037;GO:0016491;GO:0046872
cluster_0087	0.86185	0.32740	1.00000	446	GO:0009055;GO:0020037
cluster_0088	0.78938	0.29897	1.00000	257	GO:0008061
cluster_0089	0.67834	0.31722	1.00000	17	GO:0004197;GO:0050547;GO:0008656;GO:0016769;GO:0034235
cluster_0090	0.82812	0.30381	1.00000	366	GO:0005102
cluster_0091	0.61588	0.26643	1.00000	617	GO:0016616
cluster_0092	0.91923	0.36305	1.00000	85	GO:0016798
cluster_0093	0.79960	0.31014	1.00000	128	GO:0008519
cluster_0094	0.84531	0.30888	1.00000	369	GO:0008270;GO:0003700;GO:0003677
cluster_0095	0.73211	0.26430	1.00000	288	GO:0022836;GO:0046873;GO:0005261
cluster_0096	0.78831	0.28450	1.00000	53	GO:0045551;GO:0050268
cluster_0097	0.99573	0.67360	1.00000	153	GO:0003823
cluster_0098	1.00000	1.00000	1.00000	17	GO:0042605
cluster_0099	0.86136	0.64571	1.00000	31	GO:0015204
cluster_0100	0.93222	0.47987	1.00000	153	GO:0016018;GO:0003755
cluster_0101	0.83360	0.34521	1.00000	116	GO:0003920
cluster_0102	0.83981	0.38375	1.00000	337	GO:0016744
cluster_0103	0.83610	0.48416	1.00000	238	GO:0030246;GO:0016773;GO:0016301;GO:0005524;GO:0140096;GO:0004888;GO:0031625;GO:0005516
cluster_0104	0.69662	0.36402	1.00000	205	GO:0005543;GO:0005509;GO:0072341
cluster_0105	0.81062	0.60923	1.00000	50	GO:0010333;GO:0016872;GO:0009975;GO:0000287;GO:0052678;GO:0050554
cluster_0106	0.63387	0.26345	1.00000	207	GO:0016614
cluster_0107	0.83475	0.26385	1.00000	470	GO:0003743;GO:0043022
cluster_0108	0.91480	0.42036	1.00000	805	GO:0008237
cluster_0109	0.99721	0.70157	1.00000	1789	GO:0022857
cluster_0110	0.88089	0.34033	1.00000	536	GO:0048038;GO:0050136
cluster_0111	0.73230	0.38832	1.00000	261	GO:0046943;GO:0015293;GO:0015665;GO:0015136;GO:0008324;GO:0015171
cluster_0112	0.59985	0.26310	1.00000	79	GO:0046872
cluster_0113	0.98439	0.54940	1.00000	245	GO:0005184
cluster_0114	0.69474	0.32733	1.00000	13	GO:0016861
cluster_0115	0.85178	0.42940	1.00000	508	GO:0046915
cluster_0116	0.70612	0.26650	1.00000	247	GO:0008081
cluster_0117	1.00000	1.00000	1.00000	16	GO:0000978;GO:0000981
cluster_0118	0.72437	0.31239	1.00000	173	GO:0009975;GO:0016849
cluster_0119	0.98747	0.62979	1.00000	970	GO:0106310;GO:0004674
cluster_0120	1.00000	1.00000	1.00000	4	GO:0106158
cluster_0121	0.85969	0.31682	1.00000	204	GO:0005516
cluster_0122	0.74106	0.29382	1.00000	117	GO:0016620;GO:0051287;GO:0050661;GO:0046983
cluster_0123	0.69491	0.29667	1.00000	356	GO:0016832;GO:0004801
cluster_0124	0.83736	0.41535	1.00000	220	GO:0008171;GO:0046983;GO:0008757
cluster_0125	0.85147	0.28932	1.00000	278	GO:0016413
cluster_0126	0.77395	0.27720	1.00000	550	GO:0016298;GO:0052689
cluster_0127	1.00000	1.00000	1.00000	235	GO:0016740
cluster_0128	0.61755	0.26485	1.00000	282	GO:0022857;GO:0005515
cluster_0129	0.70312	0.38465	1.00000	148	GO:0008531
cluster_0130	0.82434	0.31999	1.00000	899	GO:0010181
cluster_0131	0.92836	0.53112	1.00000	15	GO:0004497;GO:0016705
cluster_0132	0.99996	0.75000	1.00000	13509	GO:0003735
cluster_0133	0.96743	0.39474	1.00000	246	GO:0004013
cluster_0134	0.77374	0.32291	1.00000	399	GO:0003682
cluster_0135	0.99763	0.97326	1.00000	87	GO:0003677;GO:0003723
cluster_0136	0.73287	0.27349	1.00000	158	GO:0016301;GO:0016773
cluster_0137	0.69070	0.26340	1.00000	1007	GO:0030234;GO:0140677
cluster_0138	0.67614	0.25635	1.00000	1479	GO:0048018;GO:0005102
cluster_0139	1.00000	1.00000	1.00000	112	GO:0017080;GO:0008200;GO:0090729
cluster_0140	0.85912	0.32586	1.00000	368	GO:0016651;GO:0015453;GO:0022853;GO:0009055;GO:0015078
cluster_0141	0.87913	0.26967	1.00000	202	GO:0016853
cluster_0142	0.61733	0.26259	1.00000	96	GO:0030246
cluster_0143	0.95628	0.64457	1.00000	150	GO:0008948;GO:0004471;GO:0051287
cluster_0144	0.74323	0.28599	1.00000	383	GO:0019899
cluster_0145	0.86292	0.26965	1.00000	690	GO:0015631
cluster_0146	0.96245	0.49707	1.00000	469	GO:0004984;GO:0004930
cluster_0147	0.75711	0.29185	1.00000	1386	GO:0003924;GO:0005525
cluster_0148	0.73726	0.31605	1.00000	937	GO:0000978;GO:0000981;GO:0001216;GO:0005515;GO:0003682;GO:0001217;GO:0003712
cluster_0149	0.93273	0.37500	1.00000	104	GO:0003714
cluster_0150	0.83364	0.36819	1.00000	46	GO:0043274;GO:0016004
cluster_0151	0.63954	0.28107	1.00000	234	GO:0008289;GO:0030234;GO:0140678;GO:0140677;GO:0043168
cluster_0152	0.87893	0.26890	1.00000	434	GO:0051287;GO:0016616;GO:0000287
cluster_0153	0.61299	0.25219	1.00000	365	GO:0140096;GO:0046872;GO:0003682;GO:0016740;GO:0016787
cluster_0154	0.64309	0.26710	1.00000	218	GO:0022857
cluster_0155	0.83601	0.38978	1.00000	16	GO:0031404;GO:0004556;GO:0005509
cluster_0156	0.67047	0.34978	1.00000	52	GO:0008270;GO:0042277;GO:0016787;GO:0072341;GO:0005543;GO:0140096;GO:0042802;GO:0046983;GO:0097367;GO:0043168
cluster_0157	0.96768	0.72699	1.00000	42	GO:0004301;GO:0004177;GO:0008237;GO:0008270;GO:0004463;GO:0034701
cluster_0158	0.93939	0.43139	1.00000	766	GO:0030527;GO:0046982
cluster_0159	0.76134	0.30050	1.00000	445	GO:0016747
cluster_0160	0.58494	0.26313	1.00000	622	GO:0030674;GO:0005515
cluster_0161	0.76065	0.31206	1.00000	707	GO:0008483;GO:0030170
cluster_0162	0.98144	0.84937	1.00000	67	GO:0019786;GO:0004197
cluster_0163	0.74572	0.27559	1.00000	226	GO:0035091
cluster_0164	0.72410	0.27560	1.00000	492	GO:0003729
cluster_0165	0.99771	0.69648	1.00000	291	GO:0099106;GO:0090729
cluster_0166	0.99760	0.93160	1.00000	57	GO:0030550;GO:0090729
cluster_0167	0.98887	0.84688	1.00000	54	GO:0004420
cluster_0168	0.65165	0.40058	1.00000	53	GO:0016627
cluster_0169	0.90467	0.32527	1.00000	431	GO:0016757
cluster_0170	0.81301	0.40466	1.00000	39	GO:0030973;GO:1901359
cluster_0171	0.65942	0.35005	1.00000	202	GO:0030170
cluster_0172	0.96795	0.85462	1.00000	21	GO:0070330;GO:0003958;GO:0010181;GO:0050660;GO:0020037;GO:0005506
cluster_0173	0.99111	0.66667	1.00000	75	GO:0008843;GO:0008061
cluster_0174	0.97921	0.36128	1.00000	1674	GO:0003700;GO:0003677
cluster_0175	0.99879	0.79941	1.00000	483	GO:0004096;GO:0020037
cluster_0176	0.96602	0.47299	1.00000	799	GO:0043565;GO:0003700
cluster_0177	0.84133	0.28301	1.00000	325	GO:0016841
cluster_0178	0.94600	0.49153	1.00000	826	GO:0005179
cluster_0179	0.84061	0.31939	1.00000	1336	GO:0061630;GO:0008270
cluster_0180	0.78810	0.27180	1.00000	318	GO:0016765
cluster_0181	0.85121	0.37643	1.00000	887	GO:0004519;GO:0004540;GO:0016787;GO:0003676
cluster_0182	0.99998	0.95989	1.00000	4422	GO:0003723
cluster_0183	0.76886	0.25699	1.00000	1410	GO:0004386;GO:0008094;GO:0016887;GO:0003677;GO:0005524
cluster_0184	0.99812	0.67882	1.00000	714	GO:0000978;GO:0000981
cluster_0185	0.95535	0.31416	1.00000	1038	GO:0004252
cluster_0186	1.00000	1.00000	1.00000	32	GO:0061579
cluster_0187	0.72923	0.40310	1.00000	104	GO:0030246
cluster_0188	0.96406	0.49702	1.00000	142	GO:0008233
cluster_0189	0.83402	0.50957	1.00000	126	GO:0043546
cluster_0190	0.77686	0.25675	1.00000	702	GO:0051536
